date,Global_active_power,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3,Temp_Min,Temp_Max,Humidity_Min,Humidity_Max
2007-05-15,904.392,3936.0,0,408,5318,46,63,48,93
2007-05-16,1692.944,7303.400000000001,2213,5756,9077,52,64,48,100
2007-05-17,1231.816,5358.2,1014,2073,7687,54,64,77,94
2007-05-18,1631.53,7022.4,3270,3913,8116,59,75,57,94
2007-05-19,1429.442,6219.8,4683,530,7022,57,68,55,88
2007-05-20,1968.328,8555.8,5420,1733,7611,50,59,54,94
2007-05-21,1120.062,4807.6,0,468,9060,55,77,50,94
2007-05-22,1132.852,4895.8,931,3966,3984,54,73,57,94
2007-05-23,1464.936,6332.4,956,3792,8119,57,72,60,88
2007-05-24,1154.388,4985.4,955,4116,4746,57,81,47,88
2007-05-25,1614.22,7003.4,8060,586,6539,59,84,45,94
2007-05-26,1512.248,6570.4,2373,2754,8628,55,70,68,100
2007-05-27,2153.808,9369.4,4366,5534,10444,48,59,63,94
2007-05-28,1637.468,7087.6,4554,473,9586,48,61,63,94
2007-05-29,1061.34,4618.4,0,1907,4332,45,63,37,93
2007-05-30,1609.866,6953.0,2250,5948,7804,45,61,71,88
2007-05-31,938.55,4020.2000000000003,935,477,3552,48,66,52,100
2007-06-01,1044.9180000000001,4512.2,0,483,7664,46,66,49,94
2007-06-02,1484.362,6442.6,3971,1250,7633,54,75,44,88
2007-06-03,2108.026,9148.2,4985,7529,8334,57,75,50,88
2007-06-04,911.6179999999999,4064.0,1585,836,4533,64,64,77,77
2007-06-05,1458.892,6429.8,4484,1027,6448,59,75,57,88
2007-06-06,1693.638,7351.599999999999,3329,829,11663,59,79,42,88
2007-06-07,985.002,4294.6,985,699,3959,59,73,73,94
2007-06-08,2148.046,9285.4,2799,11440,11380,63,73,69,94
2007-06-09,1059.814,4565.2,852,596,6590,63,75,53,88
2007-06-10,1340.812,5768.2,4202,1924,5983,59,77,54,100
2007-06-11,794.654,3481.8,0,487,5328,61,77,50,94
2007-06-12,918.7660000000001,4116.4,1882,475,3898,61,73,53,94
2007-06-13,927.272,4057.2,957,857,5216,55,79,44,100
2007-06-14,1259.084,5448.0,3322,2147,7054,59,73,69,100
2007-06-15,989.604,4415.4,2269,4011,4547,59,70,56,94
2007-06-16,2017.762,8604.0,3289,4498,11108,57,70,49,88
2007-06-17,1947.09,8307.8,4124,5038,8734,52,72,50,94
2007-06-18,678.474,2993.4,0,529,4241,57,79,47,100
2007-06-19,842.36,3682.4,973,535,4357,61,90,33,94
2007-06-20,1074.286,4761.8,1761,2588,5106,59,75,44,94
2007-06-21,806.946,3601.2,932,2400,3711,59,72,43,94
2007-06-22,566.294,2602.6,0,951,3482,57,64,68,94
2007-06-23,477.56600000000003,2211.4,0,786,2402,57,72,50,94
2007-06-24,714.656,3179.0,0,791,3449,55,73,52,94
2007-06-25,1072.202,4680.0,1985,3621,4816,55,70,38,88
2007-06-26,944.908,4143.0,971,1334,5231,55,63,55,94
2007-06-27,1480.826,6378.0,2603,6451,7270,52,64,49,88
2007-06-28,1295.438,5601.0,0,4368,9541,54,66,49,88
2007-06-29,1304.198,5673.2,4363,667,6797,57,66,63,88
2007-06-30,1335.314,5719.0,3049,792,8376,59,73,57,94
2007-07-01,1026.664,4436.2,969,736,4690,63,73,50,88
2007-07-02,967.032,4216.0,1018,5281,3445,59,73,38,94
2007-07-03,1059.912,4652.2,467,3214,4695,55,68,64,94
2007-07-04,1003.41,4457.4,2329,2218,5632,54,66,52,88
2007-07-05,1057.29,4655.8,2922,770,3973,55,66,52,94
2007-07-06,1069.5240000000001,4706.8,2826,3563,4005,57,72,43,94
2007-07-07,1358.2060000000001,5810.2,997,3047,10177,55,72,49,82
2007-07-08,1089.08,4736.6,1825,2831,5277,57,70,49,88
2007-07-09,1180.158,5063.4,923,594,9386,50,64,64,100
2007-07-10,908.3240000000001,4012.0,67,2227,4631,52,64,68,94
2007-07-11,722.352,3167.2,1015,647,5284,54,70,52,94
2007-07-12,1069.5819999999999,4656.4,1029,2550,6419,54,70,68,94
2007-07-13,794.3820000000001,3529.2,0,633,4427,59,84,42,94
2007-07-14,1288.17,5607.4,3775,1968,6604,66,86,40,78
2007-07-15,917.024,4050.0,862,632,5585,63,90,35,94
2007-07-16,853.674,3831.2,830,695,4176,61,77,47,94
2007-07-17,719.632,3277.8,848,694,3335,57,77,39,100
2007-07-18,757.082,3437.0,909,671,4628,59,77,34,82
2007-07-19,677.886,3087.2,1068,703,3130,61,79,42,77
2007-07-20,1110.422,4970.400000000001,2111,2418,4765,59,73,46,94
2007-07-21,1060.248,4739.8,428,512,7756,52,72,40,94
2007-07-22,1375.774,6082.0,7091,2136,5563,54,72,46,88
2007-07-23,991.0179999999999,4429.4,1747,1288,3847,59,70,68,94
2007-07-24,825.284,3673.4,0,1607,5599,59,73,47,94
2007-07-25,472.56,2130.2,0,151,2333,54,75,38,100
2007-07-26,924.5,4087.0,975,3633,4346,57,77,47,88
2007-07-27,1202.514,5217.599999999999,1837,49,7157,61,75,53,94
2007-07-28,1621.862,7116.0,907,10265,6559,61,72,53,94
2007-07-29,321.116,1488.2,0,0,1288,59,70,64,94
2007-07-30,466.81600000000003,2112.8,0,0,2528,48,72,33,100
2007-07-31,812.332,3603.6,3277,0,3575,50,72,33,87
2007-08-01,1060.338,4616.6,1583,0,9812,54,81,36,72
2007-08-02,1019.4159999999999,4445.4,482,0,6869,59,73,47,94
2007-08-03,1063.364,4618.4,958,0,9139,70,70,56,56
2007-08-04,1144.99,4971.4,552,398,7966,54,82,37,100
2007-08-05,787.098,3509.0,169,0,6647,59,91,29,88
2007-08-06,1089.72,4776.6,1096,0,7985,59,72,64,94
2007-08-07,1483.58,6373.4,437,2168,9042,50,73,41,100
2007-08-08,1125.482,4868.0,1055,1111,9660,55,63,72,100
2007-08-09,1071.68,4712.2,182,4515,6646,54,64,56,88
2007-08-10,1028.01,4506.8,336,2651,8287,57,64,72,94
2007-08-11,1091.65,4731.4,1180,910,10339,61,70,68,88
2007-08-12,1241.904,5389.6,1123,1156,8582,55,77,54,100
2007-08-13,1153.012,4966.2,93,476,11101,55,73,44,94
2007-08-14,941.19,4110.0,951,685,6256,54,75,50,94
2007-08-15,1191.8600000000001,5100.6,338,508,9787,64,70,83,94
2007-08-16,958.496,4095.2,962,0,7476,55,68,52,94
2007-08-17,1009.892,4293.4,244,0,7769,54,68,49,94
2007-08-18,347.96,1553.6,0,0,1830,50,70,49,94
2007-08-19,1422.294,6137.2,1025,8912,5989,57,68,64,100
2007-08-20,1338.8419999999999,5707.2,1032,6965,7383,55,64,64,94
2007-08-21,642.556,2824.0,0,38,3296,52,70,53,94
2007-08-22,1209.808,5142.6,3048,1836,7241,61,66,88,94
2007-08-23,1112.312,4795.6,2502,259,5342,61,66,88,100
2007-08-24,1656.214,7106.6,1891,3782,9944,59,72,69,94
2007-08-25,1150.88,5117.4,4149,2191,5678,55,77,54,100
2007-08-26,1314.906,5778.2,1541,3645,5658,57,77,54,100
2007-08-27,1211.73,5315.4,2305,1229,6344,57,72,46,94
2007-08-28,997.004,4314.4,1038,2468,5483,54,70,49,88
2007-08-29,747.992,3282.6,957,562,4932,54,68,37,77
2007-08-30,1202.458,5190.2,3822,2580,4221,50,70,46,82
2007-08-31,1279.8220000000001,5455.4,1200,666,8738,59,70,53,88
2007-09-01,1701.4859999999999,7294.2,2497,569,9733,59,70,64,94
2007-09-02,1662.4679999999998,7224.799999999999,3613,1617,8806,55,70,56,94
2007-09-03,1038.922,4508.2,621,2515,5323,55,64,52,94
2007-09-04,1584.944,6848.6,2928,3501,9821,50,64,42,82
2007-09-05,1236.572,5324.6,0,4144,6705,45,68,40,93
2007-09-06,901.474,3963.2,0,3888,3461,59,70,68,94
2007-09-07,1336.496,5770.4,3632,551,9388,61,70,56,88
2007-09-08,1469.752,6324.4,3339,1801,9164,55,73,50,94
2007-09-09,1679.502,7277.8,2184,4438,9233,57,68,52,94
2007-09-10,1117.376,4843.8,935,595,5613,48,70,53,94
2007-09-11,983.572,4251.0,943,550,5792,46,64,52,93
2007-09-12,1287.7640000000001,5558.4,0,3217,7755,48,68,49,94
2007-09-13,1146.382,4988.8,1175,2523,3853,50,72,46,87
2007-09-14,1135.47,4960.4,901,676,5804,46,73,47,100
2007-09-15,1095.312,4720.599999999999,0,1449,6464,57,72,53,88
2007-09-16,1652.224,7151.4,3118,3064,9310,50,79,36,100
2007-09-17,1461.186,6355.4,6651,926,6279,54,70,63,88
2007-09-18,1167.52,5058.4,1888,2029,5425,48,61,52,94
2007-09-19,1298.684,5592.0,0,2743,7937,39,63,48,100
2007-09-20,1255.5320000000002,5358.2,1056,489,9996,45,70,33,93
2007-09-21,1238.78,5375.0,3130,2745,6316,45,72,41,93
2007-09-22,1176.172,5061.8,944,1311,7688,46,70,56,94
2007-09-23,1417.97,6163.2,2831,1929,7382,52,72,53,100
2007-09-24,1354.53,5873.4,929,3935,7955,50,64,59,94
2007-09-25,1764.342,7497.2,916,2253,9820,46,63,52,94
2007-09-26,1822.264,7732.2,1058,9415,5661,45,61,63,100
2007-09-27,1392.6,5872.0,1066,643,7324,48,61,59,88
2007-09-28,1680.498,7191.6,996,3722,9952,54,57,82,94
2007-09-29,2296.522,9782.2,4085,7457,8190,52,63,72,94
2007-09-30,1516.29,6411.6,1405,582,10225,39,66,52,100
2007-10-01,1720.922,7306.2,1507,6622,5960,57,72,73,94
2007-10-02,2198.864,9322.6,508,8022,12815,61,70,78,100
2007-10-03,1280.454,5472.0,979,5024,3692,59,70,78,100
2007-10-04,1518.458,6414.6,2400,444,9710,52,63,77,100
2007-10-05,1394.092,5889.2,0,351,9425,52,64,72,94
2007-10-06,1756.24,7441.4,4840,347,9666,48,68,56,94
2007-10-07,2106.114,8939.4,2498,8255,10886,43,68,49,100
2007-10-08,1095.242,4652.8,0,420,5082,54,54,82,82
2007-10-09,1687.858,7174.6,2034,2147,9290,46,64,56,94
2007-10-10,1166.972,5023.6,1863,2117,3345,46,61,63,100
2007-10-11,1732.446,7357.0,2630,414,7806,50,61,72,100
2007-10-12,1914.504,8160.6,1020,5028,11659,43,63,68,100
2007-10-13,1926.728,8209.0,969,3799,8463,54,61,72,94
2007-10-14,2061.252,8753.4,2930,7494,7126,46,66,60,94
2007-10-15,1266.33,5359.6,1061,339,7654,46,59,72,100
2007-10-16,1964.442,8385.4,0,7871,9876,45,70,56,100
2007-10-17,1576.93,6677.2,1065,453,8968,46,61,76,94
2007-10-18,1518.53,6384.6,1162,317,9864,43,59,48,93
2007-10-19,2085.648,8788.6,1299,3124,11648,41,55,58,93
2007-10-20,1660.2459999999999,6933.2,2363,296,13225,39,54,41,93
2007-10-21,1941.94,8210.4,3712,4357,7313,32,54,41,93
2007-10-22,1652.896,6920.4,0,299,13027,39,54,44,87
2007-10-23,1954.6480000000001,8214.0,1067,5186,10680,34,52,54,87
2007-10-24,1865.636,7881.4,4459,364,9115,37,50,58,87
2007-10-25,1853.9180000000001,7795.599999999999,1478,2433,7385,45,50,71,82
2007-10-26,1437.568,6286.8,0,348,5766,48,50,71,87
2007-10-27,1785.6879999999999,7645.2,1374,4856,8949,41,50,71,93
2007-10-28,539.986,2254.0,0,300,1949,41,52,67,93
2007-10-29,545.428,2267.2,0,269,2749,46,46,81,81
2007-10-30,811.008,3386.0,0,1935,4256,41,55,67,93
2007-10-31,1283.21,5389.0,0,4700,8915,36,55,54,100
2007-11-01,496.216,2067.8,0,293,1991,39,39,93,93
2007-11-02,1443.602,6051.8,1346,2115,12245,52,55,77,82
2007-11-03,492.55,2065.4,0,282,1936,54,57,72,100
2007-11-04,1485.686,6313.0,0,4387,7068,48,57,58,94
2007-11-05,1500.592,6330.6,1265,397,6583,39,54,51,87
2007-11-06,2082.378,8855.8,1105,5515,10690,37,54,51,87
2007-11-07,1844.758,7892.8,5042,301,6374,36,52,76,93
2007-11-08,1501.06,6386.4,1715,314,6500,48,55,77,94
2007-11-09,2171.226,9168.8,0,4573,15375,34,48,43,87
2007-11-10,2611.6,11098.0,3697,304,13767,37,55,76,88
2007-11-11,1887.124,7978.4,3445,320,6024,46,55,72,88
2007-11-12,2156.146,9031.6,1018,4165,13281,32,50,54,93
2007-11-13,2214.398,9293.0,978,4933,11076,32,46,66,93
2007-11-14,2047.994,8554.6,1055,295,16345,36,46,53,87
2007-11-15,1491.988,6330.8,1606,571,7503,30,41,57,93
2007-11-16,2309.754,9674.0,1991,4660,13564,27,41,49,93
2007-11-17,2610.094,10942.4,2588,2199,14990,23,45,53,93
2007-11-18,2183.858,9140.6,5201,2097,7066,27,37,70,100
2007-11-19,1723.654,7209.0,1089,253,10750,36,48,87,93
2007-11-20,2095.856,8770.2,1015,3954,11026,45,54,77,94
2007-11-21,1751.836,7360.4,1139,549,9455,43,55,72,94
2007-11-22,1932.378,8145.0,2867,297,9001,39,55,77,100
2007-11-23,2522.618,10570.6,2168,6181,13685,39,48,70,93
2007-11-24,1899.054,7938.2,1573,4131,13451,34,46,57,93
2007-11-25,1395.598,5884.8,3556,279,5678,39,50,66,93
2007-11-26,1569.7160000000001,6626.0,1088,288,8926,37,50,57,93
2007-11-27,2801.012,11745.0,1063,11020,15111,32,50,54,100
2007-11-28,1644.94,6876.8,1182,769,7810,27,36,93,100
2007-11-29,1719.23,7221.6,2031,283,8818,30,48,87,100
2007-11-30,2331.728,9730.4,0,7941,13601,36,48,82,100
2007-12-01,3134.942,13235.8,9356,353,17847,46,52,62,93
2007-12-02,2946.188,12410.8,2090,6915,10636,46,54,76,94
2007-12-03,1762.06,7438.4,1141,299,10428,45,52,62,87
2007-12-04,2067.636,8705.0,1012,5828,8561,43,52,82,94
2007-12-05,2153.12,9141.4,3422,295,10919,50,55,77,94
2007-12-06,2487.934,10566.6,4751,318,11908,48,55,82,100
2007-12-07,1769.016,7427.4,459,3710,10263,43,55,67,94
2007-12-08,2213.404,9371.6,1133,2354,12283,39,52,81,100
2007-12-09,2274.584,9650.2,4176,2428,8728,46,50,66,93
2007-12-10,1758.7540000000001,7451.4,1102,278,8281,45,48,76,93
2007-12-11,2305.104,9665.6,1050,3817,12740,37,46,66,93
2007-12-12,1588.062,6611.2,1152,254,7759,30,45,76,100
2007-12-13,1847.7459999999999,7804.2,1103,1448,8911,0,43,76,100
2007-12-14,1974.808,8291.2,980,3849,12941,32,36,81,100
2007-12-15,2736.8759999999997,11491.2,1706,3687,14313,28,37,56,80
2007-12-16,2762.218,11508.8,3410,2281,12929,25,36,69,86
2007-12-17,1797.066,7467.6,1636,243,10567,27,32,69,93
2007-12-18,2623.194,10947.0,1123,5810,11093,25,34,70,86
2007-12-19,2196.052,9121.6,1233,2658,11679,23,34,70,93
2007-12-20,1949.758,8083.2,1859,276,13592,19,37,65,100
2007-12-21,1982.576,8227.8,1191,200,12251,23,41,56,93
2007-12-22,2611.264,10934.6,3819,4550,12673,21,48,50,100
2007-12-23,2409.048,10055.2,1971,3091,11962,30,30,86,86
2007-12-24,2257.848,9431.6,2985,2316,14350,23,43,61,100
2007-12-25,2694.968,11219.0,4588,3368,9084,30,39,70,93
2007-12-26,2580.28,10693.6,1109,2773,9480,34,39,87,100
2007-12-27,2532.198,10650.0,4122,1490,7960,37,45,93,100
2007-12-28,3113.052,13004.0,1980,8554,15823,41,45,87,100
2007-12-29,3298.956,13766.4,4836,2434,14906,41,48,81,93
2007-12-30,2558.916,10750.6,3595,3597,13485,36,48,81,100
2007-12-31,2216.542,9295.2,0,3457,14071,39,43,93,100
2008-01-01,2759.738,11489.2,2461,2739,12355,0,43,81,100
2008-01-02,1644.106,6869.4,0,3094,8987,30,36,75,100
2008-01-03,1510.108,6338.400000000001,1130,846,6671,28,39,80,100
2008-01-04,2291.852,9669.8,1241,5326,11752,39,50,71,93
2008-01-05,2183.248,9283.4,2113,286,14591,43,48,82,100
2008-01-06,1825.184,7761.8,1966,2445,7824,39,48,76,100
2008-01-07,1695.814,7078.0,1288,282,10294,45,54,62,100
2008-01-08,2043.55,8625.6,2197,3511,9793,39,45,81,100
2008-01-09,1788.44,7534.0,1162,284,8963,41,50,71,100
2008-01-10,1894.076,8056.2,1307,285,9992,37,52,82,100
2008-01-11,1705.818,7147.4,1261,290,7997,46,52,67,93
2008-01-12,2871.408,12274.4,5594,2621,11116,39,48,62,87
2008-01-13,2881.656,12158.6,6505,340,9362,41,48,66,93
2008-01-14,2024.932,8661.0,5918,339,9738,41,50,66,93
2008-01-15,2686.9120000000003,11363.4,782,6883,14512,46,48,82,87
2008-01-16,2135.852,9100.2,1162,3430,9391,41,48,76,93
2008-01-17,1572.282,6688.8,1007,350,8657,43,52,87,100
2008-01-18,2186.988,9262.4,1034,846,14983,45,55,82,100
2008-01-19,1980.306,8393.6,2521,6054,8015,52,59,72,94
2008-01-20,1740.368,7414.400000000001,1775,380,4940,52,55,67,82
2008-01-21,1858.998,7947.4,0,376,10447,48,52,67,88
2008-01-22,2325.018,9977.4,4670,7640,7552,34,54,57,94
2008-01-23,1882.308,7949.2,1116,387,13359,34,52,71,93
2008-01-24,1645.022,7038.6,1107,320,5935,43,50,71,87
2008-01-25,2239.8559999999998,9423.4,0,2421,11409,30,50,58,100
2008-01-26,2834.988,12048.0,4925,311,15606,28,48,62,100
2008-01-27,2381.766,10058.2,3725,3818,7367,25,52,38,100
2008-01-28,2308.196,9748.2,1142,280,12792,27,46,71,100
2008-01-29,2676.024,11292.8,1487,6199,11077,34,41,81,100
2008-01-30,1640.646,6950.0,0,261,7261,30,41,87,100
2008-01-31,1953.922,8342.4,1165,267,9437,28,43,76,100
2008-02-01,1534.652,6505.4,336,280,7241,37,46,87,100
2008-02-02,2936.034,12446.6,6247,2764,15188,28,45,57,93
2008-02-03,2084.568,8835.4,2319,4435,8452,28,48,57,100
2008-02-04,1628.138,6879.2,1161,252,9531,39,46,76,93
2008-02-05,2472.456,10383.2,1098,7803,13717,39,52,81,94
2008-02-06,1669.54,7104.4,2114,356,8428,37,55,51,93
2008-02-07,1518.31,6392.599999999999,0,295,8089,30,54,54,100
2008-02-08,1950.5639999999999,8276.0,940,1921,9563,34,54,44,93
2008-02-09,2102.276,8769.6,2050,2838,10293,32,55,41,87
2008-02-10,2184.714,9211.4,2562,2955,10128,30,54,44,86
2008-02-11,1692.016,7101.8,1018,297,8930,36,54,41,87
2008-02-12,1987.798,8419.800000000001,2009,1856,12138,32,54,44,93
2008-02-13,1900.498,8035.4,2530,3615,7568,34,52,54,93
2008-02-14,1604.622,6744.6,1300,291,9299,32,45,71,100
2008-02-15,2005.2079999999999,8325.0,1109,1723,13417,32,36,81,100
2008-02-16,2346.948,9927.2,1076,2360,11599,27,45,39,86
